hospital_pk,hospital_name,placekey
010045,FAYETTE MEDICAL CENTER,zzw-222@8gm-8gs-975
010158,RUSSELLVILLE HOSPITAL,222-222@5pn-66g-59f
011302,RED BAY HOSPITAL,zzw-224@5pn-2x5-y7q
010062,WIREGRASS MEDICAL CENTER,zzw-222@8gh-ysd-bhq
010051,GREENE COUNTY HOSPITAL,zzw-222@8gn-cf3-p7q
010095,HALE COUNTY HOSPITAL,zzw-222@8gn-6qw-5fz
012010,"NOLAND HOSPITAL DOTHAN II, LLC",222@8gh-wn9-c3q
010055,FLOWERS HOSPITAL,zzw-222@8gh-x85-8vz
010001,SOUTHEAST HEALTH MEDICAL CENTER,222-223@8gh-wn9-c3q
010061,HIGHLANDS MEDICAL CENTER,222-222@8gm-qph-vfz
013300,CHILDREN'S HOSPITAL OF ALABAMA,zzw-223@8gk-tv9-yqf
010011,ST VINCENT'S EAST,zzw-222@8gk-tmw-v9f
010103,PRINCETON BAPTIST MEDICAL CENTER,224-222@8gk-tt7-6x5
010033,UNIVERSITY OF ALABAMA HOSPITAL,223-222@8gk-tv9-wc5
010104,GRANDVIEW MEDICAL CENTER,222-222@8gk-t8p-fzz
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",zzw-225@8gm-9nt-7wk
010139,BROOKWOOD BAPTIST MEDICAL CENTER,zzw-222@8gk-ttp-7qz
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,22d@8gk-ttp-7h5
012009,"NOLAND HOSPITAL BIRMINGHAM II, LLC",228-226@8gk-tmw-ty9
010056,ST VINCENT'S BIRMINGHAM,zzw-222@8gk-ttz-vvf
010006,NORTH ALABAMA MEDICAL CENTER,222-222@5pm-hxc-f9f
010059,LAWRENCE MEDICAL CENTER,zzw-222@5pm-jxf-h89
010029,EAST ALABAMA MEDICAL CENTER,222-226@8gn-kkm-vs5
010079,ATHENS LIMESTONE HOSPITAL,zzw-222@5pm-fqn-mx5
012014,NORTH ALABAMA SPECIALTY HOSPITAL,223-222@5pm-fqn-mtv
010039,HUNTSVILLE HOSPITAL,225-222@5pm-mtb-zzz
010131,CRESTWOOD MEDICAL CENTER,zzy-222@8gm-nsg-rp9
010112,WHITFIELD REGIONAL HOSPITAL,222-222@8gn-b5w-fzz
010086,NORTHWEST MEDICAL CENTER,222-222@8gm-7w8-7t9
010044,MARION REGIONAL MEDICAL CENTER,zzw-222@5pn-29r-ty9
010005,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,222-222@8gm-mn7-yy9
012006,INFIRMARY LTAC HOSPITAL,zzw-223@8f3-fv7-zmk
010113,MOBILE INFIRMARY MEDICAL CENTER,222-222@8f3-fv7-zvf
010090,PROVIDENCE HOSPITAL,zzw-222@8f3-fwf-sdv
010087,USA HEALTH UNIVERSITY HOSPITAL,zzw-223@8f3-fvt-4n5
013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,22f-222@8f3-fvc-cbk
010144,SPRINGHILL MEMORIAL HOSPITAL,zzw-223@8f3-ftb-hnq
010120,MONROE COUNTY HOSPITAL,222-224@8f4-2hx-hwk
012007,"NOLAND HOSPITAL MONTGOMERY II, LLC",
010023,BAPTIST MEDICAL CENTER SOUTH,22b-222@8gn-24t-jjv
010149,BAPTIST MEDICAL CENTER EAST,224-222@8gn-nhv-649
010024,JACKSON HOSPITAL & CLINIC INC,222-224@8gn-24m-yy9
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,zzw-225@5pm-gv2-k4v
010126,TROY REGIONAL MEDICAL CENTER,223-222@8gh-w34-3wk
011306,TANNER MEDICAL CENTER-EAST ALABAMA,222-222@8gm-ch6-4y9
010168,JACK HUGHSTON MEMORIAL HOSPITAL,222-222@8gn-jcx-skf
010130,ST VINCENT'S ST CLAIR,222-222@8gk-w8v-gtv
010016,SHELBY BAPTIST MEDICAL CENTER,zzw-223@8gk-yjp-4gk
010138,HILL HOSPITAL OF SUMTER COUNTY,223-223@8f7-dz4-nyv
010164,COOSA VALLEY MEDICAL CENTER,zzw-222@8gk-sg7-7bk
010101,CITIZENS BAPTIST MEDICAL CENTER,zzw-222@8gk-w6g-xbk
010065,RUSSELL MEDICAL CENTER,223-222@8gk-vps-5xq
010052,LAKE MARTIN COMMUNITY HOSPITAL,zzw-222@8gn-hds-pvz
012012,"NOLAND HOSPITAL TUSCALOOSA II, LLC",222@8gn-9sg-nkf
010092,DCH REGIONAL MEDICAL CENTER,zzw-222@8gn-9sg-qxq
010089,WALKER BAPTIST MEDICAL CENTER,zzw-222@8gm-3rn-syv
011300,WASHINGTON COUNTY HOSPITAL,zzw-222@8f4-fbt-jn5
010102,J PAUL JONES HOSPITAL,zzw-222@8gn-3yx-zvf
010125,LAKELAND COMMUNITY HOSPITAL,zzw-222@8gm-3z9-7wk
020017,ALASKA REGIONAL HOSPITAL,222-222@3bt-c2m-8vz
022001,ST ELIAS SPECIALTY HOSPITAL,222-222@3bt-by6-bhq
020001,PROVIDENCE ALASKA MEDICAL CENTER,222-222@3bt-c28-vfz
021307,CORDOVA COMMUNITY MEDICAL CENTER,25f@3bc-jyd-6c5
020012,FAIRBANKS MEMORIAL HOSPITAL,zzw-222@3f4-sg3-54v
020008,BARTLETT REGIONAL HOSPITAL,222-222@3z3-dkv-nnq
020024,CENTRAL PENINSULA GENERAL HOSPITAL,zzw-222@3bh-zvc-cqz
021313,SOUTH PENINSULA HOSPITAL,223-223@3bh-2c6-snq
021311,KETCHIKAN MEDICAL CENTER,zzw-223@3wq-3vt-2rk
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,zzw-224@3bk-jm5-rkz
020006,MAT-SU REGIONAL MEDICAL CENTER,zzw-222@3bt-gnc-mkz
021302,PROVIDENCE SEWARD HOSPITAL,23k@3bb-v2p-bkz
021301,PROVIDENCE VALDEZ MEDICAL CENTER,226@3bc-7c5-cyv
021304,PETERSBURG MEDICAL CENTER,233@3wr-cjj-y7q
031315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,zzw-223@8th-8x8-n3q
031301,BENSON HOSPITAL,zzw-222@8tt-q4p-52k
031312,COPPER QUEEN COMMUNITY HOSPITAL,222-222@8tt-w4z-3bk
031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",224-222@8ts-s2y-xyv
030043,CANYON VISTA MEDICAL CENTER,zzw-222@8tt-pgj-pn5
031304,PAGE HOSPITAL,222-222@5yz-txz-8n5
030023,FLAGSTAFF MEDICAL CENTER,222-223@5z9-phq-fj9
031314,COBRE VALLEY REGIONAL MEDICAL CENTER,zzw-222@8ts-x22-7t9
031318,BANNER PAYSON MEDICAL CENTER,zzw-222@8th-mtv-whq
030068,MT. GRAHAM REGIONAL MEDICAL CENTER,zzw-222@8ts-n8d-789
031317,LA PAZ REGIONAL HOSPITAL,222-222@5zb-h6j-j35
032001,SELECT SPECIALTY HOSPITAL PHOENIX,222-222@5zb-xbg-qcq
5b63c59a-4b5f-48b6-903b-e47311bda9d5,Suncrest Health Care,zzw-222@8ts-zhs-vcq
030014,HONORHEALTH JOHN C. LINCOLN MEDICAL CENTER,zzw-223@5zb-xcf-cdv
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,222-226@5zb-xdv-xh5
030024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,222-222@5zb-xbg-qcq
030037,ST LUKE'S MEDICAL CENTER,zzw-222@5zb-xdq-5cq
030094,ABRAZO ARROWHEAD CAMPUS,zzw-222@5zb-www-8sq
030089,BANNER THUNDERBIRD MEDICAL CENTER,zzw-222@5zb-xgh-nt9
030107,ARIZONA SPINE AND JOINT HOSPITAL,zzw-222@8ts-zcb-6zf
030093,BANNER DEL E. WEBB MEDICAL CENTER,222-223@5zb-v5s-8gk
030139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,zzw-222@8ts-zmt-3qz
030115,BANNER ESTRELLA MEDICAL CENTER,zzw-223@8ts-d67-t9z
033302,PHOENIX CHILDREN'S HOSPITAL,222-227@5zb-xdv-j35
030131,O.A.S.I.S. HOSPITAL,222-223@8ts-zg4-jd9
030138,WESTERN REGIONAL MEDICAL CENTER,222-224@8ts-d5n-d5f
030022,VALLEYWISE HEALTH MEDICAL CENTER,zzw-225@5zb-xdt-v2k
032005,SELECT SPECIALTY HOSPITAL ARIZONA,zzw-222@5zb-xdv-xyv
030038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,zzw-222@8ts-zgr-djv
030108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",224-222@5zb-xb9-zs5
030087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,zzw-222@5zb-xm4-ch5
030136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,zzw-223@8ts-czy-cbk
031300,WICKENBURG COMMUNITY HOSPITAL,222-222@5zb-w6r-psq
030036,CHANDLER REGIONAL MEDICAL CENTER,222-223@8ts-zyp-47q
032006,"KPC PROMISE HOSPITAL OF PHOENIX, LLC",223@8ts-zr7-wrk
030121,"MOUNTAIN VISTA MEDICAL CENTER, LP",zzw-222@8ts-zk4-ghq
030088,BANNER BAYWOOD MEDICAL CENTER,225-223@8ts-zmz-j35
032000,CURAHEALTH NORTHWEST PHOENIX,223-222@5zb-xfr-5cq
030105,BANNER HEART HOSPITAL,223-224@8ts-zmz-dy9
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,222-222@5zb-wtr-xdv
030119,MERCY GILBERT MEDICAL CENTER,222-223@8ts-zct-b6k
030061,BANNER BOSWELL MEDICAL CENTER,zzw-222@5zb-xfm-fpv
030123,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,222-222@5zb-x5b-qj9
030083,ABRAZO SCOTTSDALE CAMPUS,223-222@5zb-xdv-hyv
030103,MAYO CLINIC HOSPITAL,222-222@5zb-x58-qj9
030110,ABRAZO WEST CAMPUS,zzw-223@8ts-d5m-d9z
030112,ARIZONA SPECIALTY HOSPITAL,227-223@8ts-zj7-575
030065,BANNER DESERT MEDICAL CENTER,225-222@8ts-zj5-zcq
030122,BANNER GATEWAY MEDICAL CENTER,zzw-222@8ts-zcm-5j9
030030,ABRAZO CENTRAL CAMPUS,222-223@5zb-xb9-fs5
030055,KINGMAN REGIONAL MEDICAL CENTER,222-222@5zb-25z-87q
030069,HAVASU REGIONAL MEDICAL CENTER,223-223@5z9-7pm-qzz
030101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,zzw-222@5z9-dmx-kj9
030117,VALLEY VIEW MEDICAL CENTER,zzw-222@5z9-bt9-3bk
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,zzw-222@8th-b8y-cnq
031311,LITTLE COLORADO MEDICAL CENTER,222-223@8tg-8jq-xwk
030085,NORTHWEST MEDICAL CENTER,zzw-222@8tr-zbf-r6k
032004,CORNERSTONE SPECIALTY HOSPITALS TUCSON,zzw-223@8ts-3h8-p35
030006,TUCSON MEDICAL CENTER,222-222@8ts-3mx-s3q
030114,ORO VALLEY HOSPITAL,zzw-222@8ts-34m-75z
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,225-224@8ts-3pw-s5z
032002,CURAHEALTH TUCSON,222-222@8ts-3n9-5xq
030010,ST. MARY'S HOSPITAL,222-224@8ts-3pc-5xq
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,zzw-222@8ts-3m3-y9z
030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,222-223@8ts-7dg-q2k
030011,ST JOSEPH'S HOSPITAL,223-222@8ts-3n9-9s5
030016,BANNER CASA GRANDE MEDICAL CENTER,zzw-224@8ts-z26-k9f
030130,BANNER IRONWOOD MEDICAL CENTER,222-222@8tt-254-6tv
030134,BANNER GOLDFIELD MEDICAL CENTER,223-222@8ts-zk5-9pv
031313,HOLY CROSS HOSPITAL,zzw-222@8tt-7z4-6zf
030007,VERDE VALLEY MEDICAL CENTER,zzw-223@5z9-t65-c3q
030012,YAVAPAI REGIONAL MEDICAL CENTER,zzw-223@5zb-t2h-m8v
030013,YUMA REGIONAL MEDICAL CENTER,222-222@8sc-xfx-85f
041314,"DEWITT HOSPITAL & NURSING HOME, INC",zzw-222@5ps-h2p-tsq
040072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,222-224@5ps-gzp-2tv
041323,ASHLEY COUNTY MEDICAL CENTER,222-222@8f2-zhq-xnq
040027,BAXTER REGIONAL MEDICAL CENTER,222-222@5pt-c33-4gk
04T027,BAXTER REGIONAL MEDICAL CENTER,222-222@5pt-c33-4gk
040001,SILOAM SPRINGS REGIONAL HOSPITAL,222-222@5r6-wyk-xbk
040010,MERCY HOSPITAL NORTHWEST ARKANSAS,222-222@5r8-759-zcq
041331,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,222-222@5r8-77g-hyv
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,zzw-222@5r8-9ky-6p9
041327,BRADLEY COUNTY MEDICAL CENTER,223-222@8dz-sjf-cnq
041329,MERCY HOSPITAL BERRYVILLE,zzw-222@5r8-57j-s89
041304,EUREKA SPRINGS HOSPITAL COMMISSION,222-222@5r8-52m-qs5
041328,CHICOT MEMORIAL MEDICAL CENTER,zzy-222@8f7-483-ckf
041321,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,zzw-224@8f2-727-r8v
041330,PIGGOTT COMMUNITY HOSPITAL ,22c-223@5pt-23q-btv
041312,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,zzw-225@5pr-qqy-6x5
040067,MAGNOLIA REGIONAL MEDICAL CENTER,223-224@8dz-7ym-tn5
041324,CHI ST VINCENT MORRILTON,222-223@5ps-7cj-p7q
040118,NEA BAPTIST MEMORIAL HOSPITAL,222-222@5pt-4rm-zvf
040020,ST BERNARDS MEDICAL CENTER,222@5pt-4q8-cdv
042013,ARKANSAS CONTINUED CARE HOSPITAL OF JONESBORO,224@5pt-4py-vxq
040018,BAPTIST HEALTH - VAN BUREN,zzw-222@5r7-7jy-49z
040156,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",zzw-222@5ps-3yy-99f
041307,CROSSRIDGE COMMUNITY HOSPITAL,zzw-222@5pr-yy8-cbk
041317,DALLAS COUNTY MEDICAL CENTER,227-224@8dz-xy3-52k
041326,DELTA MEMORIAL HOSPITAL,222-222@8dz-vc7-x5z
041308,MCGEHEE HOSPITAL,zzw-222@8dz-vsf-tjv
040051,DREW MEMORIAL HOSPITAL,222-225@8dz-srx-t35
040154,BAPTIST HEALTH MEDICAL CENTER- CONWAY,222-222@5ps-79d-kzz
040029,CONWAY REGIONAL HEALTH SYSTEM,zzw-222@5ps-78r-nkf
041303,MERCY HOSPITAL TURNER MEMORIAL,zzw-222@5r7-5q5-kcq
041322,FULTON COUNTY HOSPITAL,222-222@5pr-v72-c89
040132,LEVI HOSPITAL,zzw-222@8f2-2wt-2ff
040078,NATIONAL PARK MEDICAL CENTER,zzw-222@8f2-2wr-9mk
040026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,zzw-225@8f2-2wp-5zz
042004,CHRISTUS DUBUIS HOSPITAL OF HOT SPRINGS,zzw-223@8f2-2wp-5zz
040039,ARKANSAS METHODIST MEDICAL CENTER,zzw-222@5pt-529-5j9
040153,WADLEY REGIONAL MEDICAL CENTER AT HOPE,zzw-222@8dz-94f-t35
040076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,zzw-225@8f2-3kv-52k
041311,HOWARD MEMORIAL HOSPITAL,zzw-222@8dz-krf-j9z
040119,WHITE RIVER MEDICAL CENTER,223-222@5pr-mxs-whq
041306,"IZARD COUNTY MEDICAL CENTER, LLC",222-222@5pt-bgt-j35
040071,JEFFERSON REGIONAL MEDICAL CENTER,222-222@8dz-t9k-cbk
040002,JOHNSON REGIONAL MEDICAL CENTER,zzw-222@5ps-8c2-qmk
041309,LAWRENCE MEMORIAL HOSPITAL,zzw-222@5pr-syb-5zz
041320,LITTLE RIVER MEMORIAL HOSPITAL,222-222@8dz-qsc-cnq
041300,NORTH LOGAN MERCY HOSPITAL,222-224@5r7-6zg-v4v
041318,MERCY HOSPITAL BOONEVILLE,zzw-222@5r6-zk3-3dv
040069,GREAT RIVER MEDICAL CENTER,zzw-222@5pt-2zt-mzf
041316,SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,225-223@5pt-2y3-8sq
040050,OUACHITA COUNTY MEDICAL CENTER,222-223@8dz-c6m-xt9
040085,HELENA REGIONAL MEDICAL CENTER,222-224@8f6-336-tjv
040015,MENA REGIONAL HEALTH SYSTEM,zzw-224@8dz-mc8-4y9
040041,ST MARYS REGIONAL MEDICAL CENTER,222-223@5ps-9t7-wff
040137,ST VINCENT MEDICAL CENTER/NORTH,222-222@5ps-hy9-t35
040036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,zzw-223@5ps-hwh-r8v
043300,ARKANSAS CHILDREN'S HOSPITAL,
040016,UAMS MEDICAL CENTER,zzy-222@5ps-jc3-8qf
040114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,
040134,"ARKANSAS HEART HOSPITAL, LLC",222-222@5ps-j5j-4y9
042010,CORNERSTONE HOSPITAL LITTLE ROCK,222@5ps-jc6-nkf
040147,ARKANSAS SURGICAL HOSPITAL,222-222@5ps-j77-dsq
042012,BAPTIST HEALTH EXTENDED CARE HOSPITAL-LR INC,zzw-222@5ps-j5h-swk
040007,CHI-ST VINCENT INFIRMARY,222-222@5ps-jc6-nkf
040047,FIVE RIVERS MEDICAL CENTER,222-222@5pr-s4s-47q
040019,FORREST CITY MEDICAL CENTER,222-222@5pr-ygw-h5z
040084,SALINE MEMORIAL HOSPITAL,zzw-223@8f2-4xn-6kz
041305,MERCY HOSPITAL WALDRON,222-222@5r7-4w2-sh5
042006,SELECT SPECIALITY HOSPITAL-FORT SMITH INC,224@5r7-3vc-gc5
042008,CHRISTUS DUBUIS HOSPITAL OF FORT SMITH,zzw-223@5r7-7m8-vxq
040055,BAPTIST HEALTH - FORT SMITH,zzw-222@5r7-3vc-ghq
040062,MERCY HOSPITAL FORT SMITH,zzw-223@5r7-7m8-vxq
041310,STONE COUNTY MEDICAL CENTER,222-222@5pr-pjc-dd9
040088,MEDICAL CENTER OF SOUTH ARKANSAS,225-222@8dz-9wn-ct9
041313,OZARK HEALTH,222-223@5ps-cc7-mzf
040152,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,222-222@5r8-7z3-j35
042009,REGENCY HOSPITAL OF NORTHWEST ARKANSAS,zzw-222@5r8-6mz-bzf
040022,NORTHWEST MEDICAL CENTER,zzw-222@5r8-6mz-bzf
043301,"ARKANSAS CHILDREN'S NORTHWEST, INC",222-222@5r8-6nx-7dv
040004,WASHINGTON REGIONAL MEDICAL CENTER,zzy-222@5r8-88p-qcq
04L120,WOODRIDGE OF THE OZARKS,222@5r8-6nw-z2k
040014,WHITE COUNTY MEDICAL CENTER,zzw-222@5ps-mmq-td9
042011,ADVANCED CARE HOSPITAL WHITE COUNTY,222-222@5ps-pgq-4sq
040011,CHAMBERS MEMORIAL HOSPITAL,222-222@5r7-6dc-hnq
041302,DARDANELLE HOSPITAL,225-222@5ps-9cj-dd9
050320,HIGHLAND HOSPITAL,222-222@5vg-85n-bff
050488,EDEN MEDICAL CENTER,222-223@5vg-87q-bzf
050043,ALTA BATES SUMMIT MEDICAL CENTER,zzw-223@5vg-7fm-zzz
050305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,223-223@5vg-7qk-3wk
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,zzw-222@5vg-7fj-n3q
053301,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,224-226@5vg-7fm-hqz
050195,WASHINGTON HOSPITAL,222-222@5vh-9p9-p5f
050512,KAISER FOUNDATION HOSPITAL - FREMONT,222-228@5vh-9p9-ghq
050002,ST ROSE HOSPITAL,222-222@5vh-b3c-kmk
050211,ALAMEDA HOSPITAL,225-223@5vg-85r-9zz
050283,STANFORD HEALTH CARE - VALLEYCARE,zzw-222@5vh-9zx-nnq
052034,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,zzw-222@5vg-85d-4jv
050777,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,224-227@5vg-859-975
050014,SUTTER AMADOR HOSPITAL,222-223@5vh-vn4-c5z
050039,ENLOE MEDICAL CENTER,222-222@5vh-25v-q2k
051311,ORCHARD HOSPITAL,224-225@5vg-yxt-ch5
050030,OROVILLE HOSPITAL,zzw-222@5vg-z3z-y5f
051332,MARK TWAIN MEDICAL CENTER,222-223@5vh-vjs-2rk
050783,COLUSA MEDICAL CENTER,zzw-222@5vg-xp3-389
050496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,zzw-222@5vg-9gn-2x5
050523,SUTTER DELTA MEDICAL CENTER,224-222@5vg-9dn-fxq
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,zzw-222@5vg-9jk-hkf
050276,CONTRA COSTA REGIONAL MEDICAL CENTER,222-222@5vg-43m-snq
050180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,222-224@5vg-9jb-7h5
050689,SAN RAMON REGIONAL MEDICAL CENTER,222-223@5vg-b2s-kvf
050760,KAISER FOUNDATION HOSPITAL - ANTIOCH,223-223@5vg-9ds-xh5
050417,SUTTER COAST HOSPITAL,zzw-222@5v8-pfy-6zf
050254,MARSHALL MEDICAL CENTER,223-223@5vg-nx5-qpv
050352,BARTON MEMORIAL HOSPITAL,zzw-222@5yw-bfw-7dv
050093,SAINT AGNES MEDICAL CENTER,222-223@5z7-sty-fpv
053300,VALLEY CHILDREN'S HOSPITAL,zzw-222@5z7-s4x-f9f
050492,CLOVIS COMMUNITY MEDICAL CENTER,zzw-222@5z7-svr-st9
050708,FRESNO SURGICAL HOSPITAL,224-222@5z7-stv-gp9
050060,COMMUNITY REGIONAL MEDICAL CENTER,zzw-223@5z7-swq-t35
050192,ADVENTIST HEALTH REEDLEY,222-223@5z6-x2r-w49
050710,KAISER FOUNDATION HOSPITAL - FRESNO,zzw-222@5z7-s54-nnq
050732,FRESNO HEART AND SURGICAL HOSPITAL,222-222@5z7-s4w-dqf
051306,GLENN MEDICAL CENTER,222-222@5vh-2d7-68v
051318,REDWOOD MEMORIAL HOSPITAL,222-222@5tz-fq4-yd9
051309,JEROLD PHELPS COMMUNITY HOSPITAL,223-223@5v2-f6z-syv
050006,ST JOSEPH HOSPITAL,223-222@5tz-fzq-y7q
050028,MAD RIVER COMMUNITY HOSPITAL,zzw-224@5tz-bfx-xt9
050342,PIONEERS MEMORIAL HEALTHCARE DISTRICT,222-222@5z6-gtv-xnq
050045,EL CENTRO REGIONAL MEDICAL CENTER,zzw-222@8sc-wh5-p5f
051302,SOUTHERN INYO HOSPITAL,zzw-222@5z7-kn8-tgk
051324,NORTHERN INYO HOSPITAL,zzw-222@5z7-gpy-f75
051333,RIDGECREST REGIONAL HOSPITAL,223-222@5z5-g5y-syv
050257,GOOD SAMARITAN HOSPITAL,zzw-222@5z8-nyd-h5z
050036,BAKERSFIELD MEMORIAL HOSPITAL,222-222@5z8-nyq-6ff
051314,KERN VALLEY HEALTHCARE DISTRICT,zzw-222@5z8-gmx-tjv
050455,ADVENTIST HEALTH BAKERSFIELD,222@5z8-nym-mff
050315,KERN MEDICAL CENTER,222-222@5z8-ny5-8y9
050724,BAKERSFIELD HEART HOSPITAL,zzw-222@5z8-nym-cwk
050608,ADVENTIST HEALTH DELANO,222@5z7-2g6-zpv
050295,MERCY HOSPITAL,222-222@5z8-p26-sqz
